Start Date,End Date,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited,Photos
2016/12,2017/03,Cams Cinema And Culture Change In Chile And Argentina,Jay Beck & Cecilia Cornejo,Winter Break,14,"Argentina, Chile","Argentina, Chile"
2016/08,2016/11,Cross-cultural Psychology In Prague,Ken Abrams,Fall,22,Czech Republic,Czech Republic
2016/12,2017/03,Digital Photography And New Media In Europe And Northern Africa,John Schott,Winter,21,Morocco,"Germany, Portugal, Morocco"
2016/12,2017/03,Ecology In Australia,Annie Bosacker,Winter,26,Australia,Australia
2016/06,2016/08,Economics Seminar In Cambridge,Martha Paas,Summer,20,UK,UK
2017/03,2017/06,English Literature And Theater In London,Arnab Chakladar,Spring,14,UK,UK
2017/03,2017/06,French Studies In Paris,Éva Pósfay,Spring,25,France,France
2017/03,2017/06,"Gardens, Landscape, And The Built Environment In Japan",Katie Ryor,Spring,15,Japan,Japan
2016/12,2017/03,Geology And Natural History In Tasmania,Mary Savina & Nancy Braker,Winter Break,8,Australia,Australia
2017/03,2017/06,"History, Religion, And Urban Change In Medieval And Renaissance Rome",Victoria Morse & Bill North,Spring,24,Italy,Italy
2016/12,2017/03,India: Globalization And Local Responses,Meera Sehgal & Brendan LaRocque,Winter,16,India,India
2016/12,2017/03,"Public Health In Practice In The Twin Cities And Washington, D.C.",Debby Walser-Kuntz,Winter Break,14,USA,USA
2017/03,2017/06,"Society, Culture, And Language In Peru",José Cerna Bazan,Spring,20,Peru,Peru
2016/08,2016/11,Spanish Studies In Madrid,Humberto Huergo,Fall,10,Spain,Spain
2016/12,2017/03,Studio Art In The South Pacific,Fred Hagstrom,Winter,25,New Zealand,"Australia, Cook Islands, New Zealand"
2016/12,2017/03,Sustainable Energy Principles & Practice In India,Arjendu Pattanayak,Winter Break,16,India,India
2016/12,2017/03,Visions Of California: Searching For The Golden State,Mike Kowalewski,Winter,18,USA,USA
