Acad. Yr,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited
2015-16,Agricultural Sustainability In China And The U.S.,David Hougen-Eitzman,Winter Break,12,China,China
2015-16,Biology In Australia & New Zealand,"Mark McKone, Nancy Braker, & Gary Wagenbach",Winter,24,"Australia, New Zealand","Australia, New Zealand"
2015-16,Conservation And Development In Ethiopia And Tanzania,Tsegaye Nega,Winter,14,"Ethiopia, Tanzania","Ethiopia, Tanzania"
2015-16,Economics Seminar In Cambridge,Lauren Feiler,Summer,24,UK,UK
2015-16,El Mundo Maya: Anthropology In Guatemala And Chiapas - A Field Research Seminar,Jay Levi,Winter,8,Guatemala,"Guatemala, Mexico"
2015-16,English Literature And Theater In London,Nancy Cho,Spring,20,UK,UK
2015-16,French Studies In Paris,Scott Carpenter,Spring,17,France,France
2015-16,Geology In New Zealand,Clint Cowan & Cam Davidson,Winter,24,New Zealand,New Zealand
2015-16,German And European Studies In Berlin,David Tompkins & Lydia Tang,Fall,33,Germany,Germany
2015-16,Irish Literature And Culture In Ireland,Greg Hewett,Summer,16,Ireland,Ireland
2015-16,"Japanese Linguistics And Culture In Kyoto, Japan",Mike Flynn,Spring,17,Japan,Japan
2015-16,Moscow & Beyond: Russian Language And Cultural Studies,Diane Nemec-Ignashev,Spring,7,Russia,Russia
2015-16,"Political Science Seminar In Washington, D.C.",Barbara Allen & Greg Marfleet,Spring,16,USA,USA
2015-16,Spanish Seminar In Madrid,Humberto Huergo,Fall,15,Spain,Spain
2015-16,Sport And Globalization In London And Seville,Bob Carlson,Winter,25,UK,"UK, Spain"
2015-16,Studio Art: The New York Program,Dan Bruggeman,Winter Break,14,USA,USA
2015-16,Wilderness Studies At The Grand Canyon,George Vrtis,Spring Break,12,USA,USA
